ID,Title,Highlights Supported?,Fully Optimized?,Steam Url,Publisher,Genre,Status
8843111,The Elder Scrolls V: Skyrim,N,Y,https://store.steampowered.com/app/72850,Bethesda Softworks,"Role Playing,",1
100010811,The Elder Scrolls V: Skyrim Special Edition,N,Y,https://store.steampowered.com/app/489830,Bethesda Softworks,"Role Playing,",1
11154111,The Elder Scrolls® Online: Elsweyr,N,Y,https://store.steampowered.com/app/306130,Bethesda Softworks,"Role Playing,Massively Multiplayer Online,Adventure,Action,",1
100128411,The Evil Within 2,N,N,https://store.steampowered.com/app/601430,Bethesda Softworks,"Action,Adventure,",1
100474711,The Fisherman - Fishing Planet,N,N,https://store.steampowered.com/app/1072480,Bigben Interactive,"Massively Multiplayer Online,Simulation,Sports,",1
100028911,The Forest,N,N,https://store.steampowered.com/app/242760,Endnight Games Ltd,"First-Person Shooter,",1
100244111,The Golf Club™ 2019 featuring PGA TOUR,N,N,https://store.steampowered.com/app/695290,2K,"Sports,Indie,Simulation,Strategy,",1
100331011,The Isle,N,N,https://store.steampowered.com/app/376210,Afterthought LLC,"Action,Adventure,Indie,Massively Multiplayer OnlineSimulation,",1
100236711,The Jackbox Party Pack 3,N,N,https://store.steampowered.com/app/434170,"Jackbox Games, Inc.","Casual,Family,Indie,Strategy,",1
100246911,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,N,N,https://store.steampowered.com/app/222420,SNK CORPORATION,"Action,Arcade,",1
100523711,The Legend of Bum-Bo,N,N,https://store.steampowered.com/app/1148650,Edmund McMillen,"Adventure,Indie,Strategy,",1
100287211,The Legend of Heroes: Trails of Cold Steel,N,N,https://store.steampowered.com/app/538680,"XSEED Games, Marvelous USA, Inc.","Adventure,Role Playing,",1
100194511,The LEGO® Movie - Videogame,N,N,https://store.steampowered.com/app/267530,Warner Bros. Interactive Entertainment,"Action,Family,Adventure,",1
100311411,The LEGO® Movie 2 Videogame,N,N,https://store.steampowered.com/app/881320,Warner Bros. Interactive Entertainment,"Action,Adventure,Casual,Family,",1
100134711,The LEGO® NINJAGO® Movie Video Game,N,N,https://store.steampowered.com/app/640590,Warner Bros. Interactive Entertainment,"Action,Family,Adventure,",1
100104511,The Long Dark,N,N,https://store.steampowered.com/app/305620,Hinterland Studio Inc.,"Adventure,Indie,Strategy,Simulation,",1
100060911,The Surge,N,Y,https://store.steampowered.com/app/378540,Focus Home Interactive,"Action,Role Playing,",1
100282611,The Surge 2,N,N,https://store.steampowered.com/app/644830,Focus Home Interactive,"Action,",1
100235611,The Walking Dead: The Final Season,N,N,https://store.steampowered.com/app/866800,Telltale Games,"Adventure,Action,",1
100079811,The Witcher 2: Assassins of Kings Enhanced Edition,N,Y,https://store.steampowered.com/app/20920,CD Projekt RED,"Role Playing,",1
100044011,The Witcher® 3: Wild Hunt,N,Y,https://store.steampowered.com/app/292030,CD PROJEKT RED,"Role Playing,",1
100013211,The Witness,N,N,https://store.steampowered.com/app/210970,"Thekla, Inc.","Adventure,Casual,Indie,Puzzle,",1
100164811,theHunter: Call of the Wild™,N,N,https://store.steampowered.com/app/518790,Avalanche Studios,"Adventure,Simulation,Sports,",1
100170711,They Are Billions,N,N,https://store.steampowered.com/app/644930,Numantian Games,"Strategy,",1
100287611,Thief Simulator,N,N,https://store.steampowered.com/app/704850,PlayWay S.A.,"Action,Adventure,Indie,Simulation,",1
100012411,This War of Mine,N,N,https://store.steampowered.com/app/282070,11 bit studios,"Adventure,Indie,Platformer,Simulation,",1
100294611,Thronebreaker: The Witcher Tales,N,N,https://store.steampowered.com/app/973760,CD PROJEKT RED,"Adventure,Role Playing,",1
100360411,Tom Clancy’s Ghost Recon Breakpoint,N,Y,,Ubisoft,"Action,Adventure,",1
100309911,Tom Clancy’s The Division® 2,N,Y,,Ubisoft,"Action,Adventure,Role Playing,Massively Multiplayer Online,",1
100247411,Tom Clancy’s The Division® 2,N,Y,,Ubisoft,"Action,Adventure,Role Playing,Massively Multiplayer Online,",1
100153611,Tom Clancy's Ghost Recon® Wildlands,N,N,https://store.steampowered.com/app/460930,Ubisoft,"Action,Adventure,",1
100048011,Tom Clancy's Ghost Recon® Wildlands,N,N,,Ubisoft,"Action,Adventure,",1
100065511,Tom Clancy's Rainbow Six® Siege,N,Y,,Ubisoft,"Action,First-Person Shooter,Massively Multiplayer Online,",1
